bundle_path,original_path,file_name,file_size_bytes,modified_timestamp,sha256,run_classification,reason_included
final_dissertation_evidence/AUDIT_REPORT.md,N/A (generated in bundle),AUDIT_REPORT.md,7052,2026-08-20T17:57:57.941732+00:00,308a3b87b15a4c689ea973bfce9f69a43b0404ba07c37542f81975a36e9aff45,bundle_metadata,Generated audit metadata or placeholder documenting missing evidence
final_dissertation_evidence/code_snapshot/asian_options/aggregation.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/aggregation.py,aggregation.py,4844,2026-08-20T17:55:08.608346+00:00,3b6872481c4315e2ab6f657f575999fdc80d5f7850a5c109ca6d318d68f9d3b5,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/analytical.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/analytical.py,analytical.py,5102,2026-08-20T17:55:08.608346+00:00,09368c875626f4b1a81df93aae84e626e50b15027e324fe8ff4152b75d180a05,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/config.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/config.py,config.py,7481,2026-08-20T17:55:08.608346+00:00,74fe131d8653ae5e8b7cab609214fc9f0288f7fd4aaa6c78e24bd8595fa12457,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/contracts.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/contracts.py,contracts.py,4854,2026-08-20T17:55:08.608346+00:00,72ff69eca5ec0ef61fe961448e1ed0836a8538f9918530622cc69214aa1addc1,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/estimators.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/estimators.py,estimators.py,14900,2026-08-20T17:55:08.608346+00:00,1f8b9ad7357d8805800fec6ff3b7479c90a2aba3ef830cbd3b1bcf42ca3fe19a,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/frozen_transfer.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/frozen_transfer.py,frozen_transfer.py,21102,2026-08-20T17:55:08.608346+00:00,3879f2dd56a5837670e8988fa226db864685def78e82a62c24e93fb8125a50bf,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/ncv_training_curve.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/ncv_training_curve.py,ncv_training_curve.py,94147,2026-08-20T17:55:08.608346+00:00,bcf8f8dcf9871ead09de1466fca0b496764084f40843b2ea8f935645dd5795ee,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/neural_cv.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/neural_cv.py,neural_cv.py,10424,2026-08-20T17:55:08.608346+00:00,4ee2e99ec31aa8892ce7067abbfb8e20eea70b1cf319d81100b32a65139f9126,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/payoffs.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/payoffs.py,payoffs.py,4375,2026-08-20T17:55:08.608346+00:00,9b0ae99d5d2a3ff6f12ced0251f238de0907d29e9d9ca6994e5284bea6bdbda9,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/results.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/results.py,results.py,19162,2026-08-20T17:55:08.608346+00:00,39fd24ea6e78d0c3006c6bda8d082972242b18003f1927b1fa7248158e8bfe34,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/simulate_gbm.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/simulate_gbm.py,simulate_gbm.py,2503,2026-08-20T17:55:08.608346+00:00,70db28c4a34fd49c1213a19a5547e6743ea77128dc50285104c2ef1cfba33106,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/stage8_sensitivity_2x2.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/stage8_sensitivity_2x2.py,stage8_sensitivity_2x2.py,48892,2026-08-20T17:55:08.608346+00:00,0f8ad542c247c7c0e03e2c56e830b84f98d44074e0a74f752638e9bd4d00535e,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/asian_options/validation.py,/home/runner/work/DissertationV2/DissertationV2/asian_options/validation.py,validation.py,10833,2026-08-20T17:55:08.609380+00:00,edb44215c4f01f9963c40d22a6fce95c9f9b8e4dc1516a8bf0f4ec56173f738b,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
final_dissertation_evidence/code_snapshot/scripts/run_experiments.py,/home/runner/work/DissertationV2/DissertationV2/scripts/run_experiments.py,run_experiments.py,26171,2026-08-20T17:55:08.630880+00:00,a9d17822a06b2b0c0ddf25cdc7b1952e08ab155405195bcd7e2c256fc61b6bcb,code_snapshot,"Script/module responsible for stage-8 execution, contract setup, NCV/frozen-transfer, aggregation, timing, break-even, or reference pricing"
